Country or area,Subregion,Region,Internet users,Population,Year
Sweden,Northern Europe,Europe,9930.0,9971.638,2021
Ecuador,South America,Americas,10170.0,17084.358,2021
Tanzania,Eastern Africa,Africa,30000.0,56313.438,2021
United Arab Emirates,Western Asia,Asia,9840.0,9630.959,2021
Kenya,Eastern Africa,Africa,21750.0,51392.565,2021
Czech Republic,Eastern Europe,Europe,8358.728,10665.677,2021
Switzerland,Western Europe,Europe,7942.864,8525.611,2021
Greece,Southern Europe,Europe,8390.0,10522.246,2021
Azerbaijan,Western Asia,Asia,8260.0,9949.537,2021
Austria,Western Europe,Europe,8030.0,8891.388,2021
Portugal,Southern Europe,Europe,8580.0,10256.193,2021
Yemen,Western Asia,Asia,8060.0,28498.683,2021
Hungary,Eastern Europe,Europe,8010.0,9707.499,2021
Sri Lanka,Southern Asia,Asia,7121.116,21228.763,2021
Belarus,Eastern Europe,Europe,7820.0,9452.617,2021
Democratic Republic of the Congo,Middle Africa,Africa,7011.507,84068.091,2021
Dominican Republic,Caribbean,Americas,6997.472,10627.141,2021
Guatemala,Central America,Americas,11750.0,17247.849,2021
Israel,Western Asia,Asia,7680.0,8381.516,2021
"Hong Kong, China",Eastern Asia,Asia,6585.678,7371.73,2021
Jordan,Western Asia,Asia,6840.0,9965.318,2021
Tunisia,Northern Africa,Africa,7920.0,11565.201,2021
Nepal,Southern Asia,Asia,27178.0,28095.714,2021
Syrian Arab Republic,Western Asia,Asia,6257.43,16945.057,2021
Serbia,Southern Europe,Europe,6890.0,8802.754,2021
Mozambique,Eastern Africa,Africa,6720.0,29496.004,2021
Cuba,Caribbean,Americas,7700.0,11338.134,2021
Cameroon,Middle Africa,Africa,9150.0,25216.267,2021
Denmark,Northern Europe,Europe,5690.0,5752.126,2021
Cambodia,South-eastern Asia,Asia,8860.0,16249.792,2021
Norway,Northern Europe,Europe,5390.0,5337.962,2021
"Bolivia, Plurnational State of",South America,Americas,4843.916,11353.142,2021
Finland,Northern Europe,Europe,5270.0,5522.576,2021
Singapore,South-eastern Asia,Asia,4821.119,5757.499,2021
Zambia,Eastern Africa,Africa,5480.0,17351.708,2021
Lebanon,Western Asia,Asia,5310.0,6859.408,2021
Senegal,Western Africa,Africa,7810.0,15854.323,2021
Bulgaria,Eastern Europe,Europe,4910.0,7051.608,2021
Zimbabwe,Eastern Africa,Africa,5010.0,14438.802,2021
Slovakia,Eastern Europe,Europe,4640.0,5453.014,2021
New Zealand,"Australia, New Zealand",Oceania,4273.353,4743.131,2021
Angola,Middle Africa,Africa,10360.0,30809.787,2021
Paraguay,South America,Americas,4920.0,6956.066,2021
Afghanistan,Southern Asia,Asia,8640.0,37171.921,2021
Kuwait,Western Asia,Asia,4260.0,4137.312,2021
Ireland,Northern Europe,Europe,4510.0,4818.69,2021
Oman,Western Asia,Asia,4920.0,4829.473,2021
Costa Rica,Central America,Americas,3511.549,4999.441,2021
State of Palestine,Western Asia,Asia,3208.312,,2021
